Time,Direction 1,Direction 2,Direction 3,Direction 4,Direction 5,Direction 6,Direction 7,Direction 8,Direction 9,Direction 10,Direction 11,Direction 12,Direction 13,Direction 14
10:06,,,,,1,,,,,,,,,
10:07,,,1,,,,,,,,,,,
10:08,,,,,,,,,,,,,,
10:09,,,,,,,,,,,,,,
10:10,,,,,,,,,,,,,,
10:11,,,,,,,,,,,,,,
10:12,,,,,,,,,,,,,,
10:13,,,,,,,,,,,,,,
10:14,,,,,,,,,,,,,,
10:15,,,,,,,,,,,,,,1
10:21,,,2,,,,,,,,,,,
10:22,,,,,,,,,,,,,,
10:23,,,,,,,,,,,,,,
10:24,,,,,,,,,,,,,,
10:25,1,,,,,,,,,,,,,
10:26,,,,,,,,,,,,,,
10:27,,,,,,,,,,,,,,
10:28,,,,,1,,,,,,,,,
10:29,,,,,,,,,,,,,,
10:30,,,,,,,,,,,,,,1
10:36,,,,,,,,,,,,,,
10:37,,,1,,,,,,,,,,,
10:38,,,,,,,,,,,,,,
10:39,,,,,,,,,,,,,,
10:40,,,,,,,,,,,,,,
10:41,,,,,,,,,,,,,,
10:42,,,,,,,,,,,,,,
10:43,,,1,,,,,,,,,,,
10:44,,,,,,,,,,,,,,
10:45,,,,,1,,,,,,,,,
10:51,1,,,,,,,,,,,,,1
10:52,,,,,,,,,,,,,,
10:53,,,1,,,,,,,,,,1,
10:54,1,,,,,,,,,,,,,
10:55,,,,,,,,,,,,,,
10:56,,,,,,,,,,,,,,
10:57,,,,,,,,,,,,,,
10:58,,,,,,,,,,,,,,
10:59,,,,,,,,,,,,,,
11:00,,,,,,,,,,,,,1,
